"","plot_number","dominant_veg_1930","secondary_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_2009","secondary_veg_2009","dominant_cover_2009","secondary_cover_2009"
"366",365,"chaparral","tree",54,32,"chaparral","grass",46,40
"367",366,"chaparral","tree",44,38,"chaparral","tree",60,36
"368",367,"tree","grass",52,48,"tree","grass",58,42
"369",368,"sage","grass",58,42,"grass","sage",92,8
"370",369,"mixed","mixed",50,50,"chaparral","grass",70,30
"371",370,"chaparral","tree",46,30,"chaparral","sage",42,38
"372",371,"grass","chaparral",82,14,"grass","chaparral",92,6
"373",372,"sage","grass",92,8,"grass","sage",68,32
"374",373,"chaparral","grass",78,20,"chaparral","grass",76,22
"375",374,"chaparral","grass",50,30,"chaparral","grass",56,34
"376",375,"chaparral","grass",78,22,"chaparral","grass",76,24
"377",376,"sage","grass",82,18,"sage","grass",56,40
"378",377,"chaparral","grass",84,16,"chaparral","grass",66,34
"379",378,"tree","grass",72,28,"grass","tree",56,44
"380",379,"sage","grass",58,30,"grass","sage",46,40
"381",380,"chaparral","grass",70,30,"grass","sage",70,16
"382",381,"grass","chaparral",66,18,"grass","chaparral",64,24
"383",382,"sage","grass",50,46,"grass","chaparral",62,20
"384",383,"chaparral","grass",58,42,"chaparral","grass",62,38
"385",384,"chaparral","tree",40,38,"tree","grass",86,10
"386",385,"grass","tree",52,48,"tree","grass",80,20
"387",386,"chaparral","grass",88,12,"chaparral","grass",74,26
"388",387,"chaparral","grass",38,36,"chaparral","grass",72,20
"389",388,"chaparral","grass",54,46,"chaparral","grass",58,42
"390",389,"chaparral","grass",74,26,"chaparral","grass",88,12
"391",390,"chaparral","grass",80,20,"chaparral","grass",74,26
"392",391,"chaparral","grass",88,12,"chaparral","grass",54,46
"393",392,"chaparral","grass",92,8,"chaparral","grass",82,18
"394",393,"chaparral","grass",94,6,"grass","chaparral",56,44
"395",394,"chaparral","grass",82,18,"chaparral","grass",78,22
"396",395,"sage","chaparral",78,18,"grass","chaparral",70,18
"397",396,"chaparral","grass",100,0,"chaparral","grass",100,0
"398",397,"chaparral","barren",82,18,"chaparral","grass",92,4
"399",398,"chaparral","grass",72,28,"grass","sage",68,28
"400",399,"chaparral","tree",70,18,"sage","grass",56,38
"401",400,"chaparral","grass",64,36,"chaparral","grass",80,20
"402",401,"grass","sage",52,36,"grass","chaparral",60,20
"403",402,"chaparral","grass",92,8,"grass","sage",58,42
"404",403,"grass","chaparral",44,36,"grass","chaparral",74,20
"405",404,"chaparral","grass",84,16,"chaparral","grass",64,36
"406",405,"chaparral","grass",56,44,"chaparral","grass",76,24
"407",406,"chaparral","grass",84,16,"grass","chaparral",64,28
"408",407,"grass","chaparral",56,36,"grass","chaparral",66,30
"409",408,"sage","grass",60,40,"grass","sage",88,10
"410",409,"grass","chaparral",38,36,"grass","chaparral",66,34
"411",410,"tree","grass",66,34,"tree","grass",56,44
"412",411,"sage","grass",70,30,"grass","sage",84,12
"413",412,"grass","chaparral",56,40,"grass","sage",92,6
"414",413,"chaparral","grass",74,26,"grass","chaparral",54,46
"415",414,"grass","chaparral",50,38,"grass","chaparral",62,30
"416",415,"chaparral","grass",66,26,"chaparral","grass",80,20
"417",416,"tree","grass",58,42,"grass","tree",62,38
"418",417,"grass","chaparral",58,38,"grass","chaparral",58,42
"419",418,"grass","sage",72,28,"grass","sage",94,6
"420",419,"chaparral","grass",88,12,"grass","chaparral",52,48
"421",420,"chaparral","grass",62,38,"chaparral","grass",76,24
"422",421,"chaparral","grass",88,12,"grass","chaparral",68,32
"423",422,"chaparral","grass",76,24,"chaparral","grass",76,24
"424",423,"grass","chaparral",72,26,"chaparral","grass",78,22
"425",424,"chaparral","grass",96,4,"chaparral","grass",92,8
"426",425,"chaparral","grass",82,18,"chaparral","grass",62,38
"427",426,"chaparral","grass",82,18,"chaparral","grass",94,6
"428",427,"grass","sage",58,42,"grass","tree",100,0
"429",428,"chaparral","grass",98,2,"chaparral","grass",78,22
"430",429,"chaparral","grass",90,10,"chaparral","grass",76,20
"431",430,"grass","tree",64,36,"grass","sage",76,18
"432",431,"sage","chaparral",86,10,"chaparral","grass",68,30
"433",432,"tree","grass",60,40,"tree","grass",76,24
"434",433,"tree","grass",56,24,"tree","grass",60,40
"435",434,"grass","tree",66,34,"tree","grass",56,44
"436",435,"sage","grass",74,26,"grass","sage",96,4
"437",436,"chaparral","grass",82,18,"chaparral","grass",62,38
"438",437,"chaparral","grass",86,14,"chaparral","grass",66,34
"439",438,"grass","chaparral",58,30,"grass","chaparral",68,16
"440",439,"chaparral","grass",94,6,"chaparral","grass",86,14
"441",440,"chaparral","grass",52,48,"grass","chaparral",60,30
"442",441,"chaparral","grass",78,22,"chaparral","grass",76,24
"443",442,"chaparral","grass",52,48,"grass","chaparral",64,36
"444",443,"sage","grass",58,36,"grass","sage",68,26
"445",444,"chaparral","barren",82,12,"chaparral","barren",86,10
"446",445,"tree","grass",92,8,"grass","chaparral",56,40
"447",446,"grass","sage",52,44,"grass","chaparral",72,18
"448",447,"chaparral","grass",76,24,"chaparral","grass",76,22
"449",448,"grass","sage",44,32,"sage","grass",58,42
"450",449,"chaparral","grass",70,30,"chaparral","grass",56,44
"451",450,"sage","grass",80,20,"grass","sage",94,4
"452",451,"grass","chaparral",86,12,"grass","sage",74,16
"453",452,"chaparral","grass",66,34,"grass","sage",90,8
"454",453,"sage","chaparral",48,32,"grass","sage",96,4
"455",454,"grass","sage",72,26,"grass","sage",60,24
"456",455,"chaparral","grass",78,22,"chaparral","grass",90,10
"457",456,"chaparral","grass",94,6,"chaparral","grass",76,24
"458",457,"chaparral","grass",78,22,"chaparral","grass",70,30
"459",458,"chaparral","tree",66,30,"sage","grass",50,38
"460",459,"chaparral","grass",88,12,"grass","chaparral",54,32
"461",460,"chaparral","grass",66,32,"chaparral","grass",56,34
"462",461,"grass","sage",60,40,"chaparral","grass",56,40
"463",462,"grass","sage",56,32,"grass","sage",80,16
"464",463,"grass","tree",56,24,"grass","sage",74,12
"465",464,"sage","grass",56,42,"grass","sage",76,12
"466",465,"chaparral","grass",42,38,"grass","chaparral",50,34
"467",466,"chaparral","grass",82,12,"chaparral","tree",66,32
"468",467,"chaparral","grass",88,6,"grass","tree",92,8
"469",468,"grass","sage",44,38,"grass","tree",82,14
"470",469,"chaparral","grass",90,10,"sage","grass",72,28
"471",470,"chaparral","tree",70,24,"grass","tree",72,28
"472",471,"chaparral","grass",92,8,"chaparral","grass",74,26
"473",472,"grass","sage",62,38,"grass","sage",74,26
"474",473,"chaparral","grass",92,8,"chaparral","grass",86,14
"475",474,"chaparral","grass",96,4,"chaparral","grass",94,6
"476",475,"grass","sage",52,38,"grass","sage",50,34
"477",476,"chaparral","sage",82,10,"chaparral","grass",94,6
"478",477,"chaparral","grass",98,2,"tree","grass",70,30
"479",478,"chaparral","grass",76,24,"grass","chaparral",46,34
"480",479,"chaparral","grass",96,4,"chaparral","grass",62,30
"481",480,"sage","grass",76,24,"sage","grass",66,34
"482",481,"sage","tree",80,12,"grass","sage",62,34
"483",482,"chaparral","grass",74,26,"grass","chaparral",52,30
"484",483,"tree","grass",54,32,"grass","chaparral",54,42
"485",484,"chaparral","grass",88,6,"chaparral","grass",74,18
"486",485,"sage","grass",64,30,"grass","tree",62,24
"487",486,"chaparral","grass",90,10,"grass","sage",62,24
"488",487,"chaparral","grass",54,44,"chaparral","grass",68,32
"489",488,"chaparral","sage",62,32,"sage","grass",74,24
"490",489,"tree","grass",82,18,"tree","grass",82,16
"491",490,"chaparral","grass",78,22,"grass","chaparral",44,36
"492",491,"tree","chaparral",70,20,"mixed","mixed",38,38
"493",492,"chaparral","barren",50,42,"chaparral","grass",56,22
"494",493,"sage","grass",48,26,"grass","sage",64,36
"495",494,"grass","chaparral",50,36,"grass","chaparral",66,28
"496",495,"sage","grass",64,26,"grass","tree",54,28
"497",496,"grass","chaparral",68,20,"grass","chaparral",54,42
"498",497,"chaparral","grass",72,28,"chaparral","grass",70,26
"499",498,"tree","grass",38,34,"grass","tree",50,36
"500",499,"chaparral","tree",54,40,"tree","chaparral",46,44
"501",500,"chaparral","grass",92,8,"chaparral","grass",76,22
"502",501,"chaparral","grass",82,18,"mixed","mixed",50,50
"503",502,"chaparral","grass",84,16,"grass","sage",58,28
"504",503,"sage","chaparral",64,26,"chaparral","grass",40,34
"505",504,"tree","grass",82,18,"tree","grass",94,6
"506",505,"sage","chaparral",66,18,"grass","chaparral",52,32
"507",506,"chaparral","grass",74,26,"grass","sage",40,34
"508",507,"chaparral","grass",94,6,"grass","chaparral",64,36
"509",508,"chaparral","grass",92,8,"chaparral","grass",96,4
"510",509,"chaparral","grass",78,22,"chaparral","grass",82,18
"511",510,"sage","chaparral",46,28,"grass","chaparral",52,26
"512",511,"sage","grass",74,24,"chaparral","grass",72,28
"513",512,"chaparral","tree",58,32,"grass","chaparral",50,48
"514",513,"tree","grass",52,48,"grass","chaparral",68,18
"515",514,"sage","grass",80,20,"grass","sage",96,4
"516",515,"tree","grass",66,28,"grass","tree",64,22
"517",516,"tree","grass",78,22,"tree","grass",56,44
"518",517,"chaparral","grass",80,20,"chaparral","grass",86,14
"519",518,"chaparral","grass",100,0,"chaparral","grass",88,12
"520",519,"sage","grass",78,16,"grass","sage",86,14
"521",520,"chaparral","grass",62,20,"chaparral","grass",60,28
"522",521,"sage","grass",78,22,"grass","sage",90,8
"523",522,"chaparral","grass",76,24,"grass","chaparral",86,10
"524",523,"chaparral","grass",90,10,"chaparral","grass",78,22
"525",524,"chaparral","sage",50,36,"sage","grass",64,28
"526",525,"chaparral","grass",78,22,"chaparral","grass",74,26
"527",526,"chaparral","grass",78,16,"grass","chaparral",46,42
"528",527,"chaparral","grass",84,14,"grass","chaparral",54,42
"529",528,"chaparral","grass",54,46,"grass","chaparral",48,34
"530",529,"chaparral","grass",78,22,"grass","chaparral",54,42
"531",530,"chaparral","grass",92,8,"chaparral","grass",88,12
"532",531,"chaparral","grass",62,38,"grass","chaparral",80,10
"533",532,"sage","grass",64,36,"grass","sage",62,28
"534",533,"mixed","mixed",50,50,"tree","grass",78,22
"535",534,"chaparral","grass",72,28,"grass","chaparral",58,42
"536",535,"chaparral","grass",94,6,"chaparral","tree",62,22
"537",536,"chaparral","grass",62,22,"grass","sage",62,22
"538",537,"grass","chaparral",50,28,"grass","chaparral",74,20
"539",538,"sage","grass",54,46,"grass","sage",78,20
"540",539,"chaparral","sage",38,36,"sage","grass",68,32
"541",540,"chaparral","sage",42,36,"grass","sage",86,14
"542",541,"chaparral","grass",42,30,"grass","sage",64,20
"543",542,"grass","tree",88,12,"grass","tree",52,28
"544",543,"chaparral","grass",84,16,"chaparral","tree",80,20
"545",544,"chaparral","grass",54,34,"grass","tree",84,16
"546",545,"chaparral","grass",62,22,"grass","chaparral",50,26
"547",546,"chaparral","grass",46,38,"grass","chaparral",58,24
"548",547,"chaparral","grass",70,24,"grass","chaparral",54,30
"549",548,"chaparral","grass",90,10,"grass","chaparral",64,18
"550",549,"chaparral","tree",64,26,"grass","chaparral",58,20
"551",550,"chaparral","grass",80,20,"chaparral","grass",86,14
"552",551,"sage","tree",60,22,"grass","tree",40,34
"553",552,"chaparral","tree",50,38,"chaparral","tree",56,36
"554",553,"mixed","mixed",44,44,"grass","sage",64,30
"555",554,"chaparral","grass",78,18,"chaparral","grass",66,34
"556",555,"chaparral","grass",66,34,"grass","chaparral",68,30
"557",556,"sage","grass",60,32,"sage","grass",52,42
"558",557,"chaparral","grass",88,12,"chaparral","grass",96,4
"559",558,"chaparral","grass",66,34,"chaparral","grass",52,46
"560",559,"chaparral","grass",64,36,"grass","chaparral",68,18
"561",560,"chaparral","grass",98,2,"chaparral","grass",84,16
"562",561,"chaparral","grass",90,10,"chaparral","grass",62,38
"563",562,"chaparral","grass",98,2,"chaparral","grass",86,14
"564",563,"chaparral","grass",78,22,"chaparral","grass",76,24
"565",564,"grass","sage",40,32,"grass","sage",58,30
"566",565,"sage","grass",66,32,"grass","sage",90,10
"567",566,"chaparral","grass",70,16,"chaparral","grass",66,34
"568",567,"chaparral","grass",98,2,"grass","chaparral",66,22
"569",568,"tree","grass",58,32,"grass","tree",74,16
"570",569,"chaparral","grass",86,14,"chaparral","grass",84,16
"571",570,"grass","tree",52,48,"chaparral","tree",70,24
"572",571,"sage","grass",46,44,"grass","sage",74,16
"573",572,"chaparral","grass",82,18,"chaparral","grass",84,16
"574",573,"sage","grass",72,22,"sage","grass",56,44
"575",574,"chaparral","grass",94,6,"chaparral","grass",56,38
"576",575,"sage","grass",50,32,"tree","grass",58,42
"577",576,"chaparral","grass",78,20,"tree","grass",70,26
"578",577,"chaparral","grass",56,36,"chaparral","grass",52,40
"579",578,"tree","sage",74,20,"tree","grass",84,10
"580",579,"mixed","mixed",50,50,"grass","chaparral",76,18
"581",580,"chaparral","grass",90,10,"chaparral","grass",94,6
"582",581,"chaparral","grass",80,20,"chaparral","grass",90,10
"583",582,"tree","grass",90,10,"tree","grass",92,8
"584",583,"chaparral","grass",92,8,"chaparral","grass",100,0
"585",584,"chaparral","grass",60,26,"grass","tree",90,4
"586",585,"chaparral","grass",80,18,"grass","chaparral",64,36
"587",586,"chaparral","tree",52,30,"tree","grass",76,12
"588",587,"chaparral","grass",54,46,"chaparral","grass",62,38
"589",588,"sage","grass",60,24,"grass","sage",92,8
"590",589,"chaparral","grass",88,12,"grass","sage",66,24
"591",590,"chaparral","barren",82,10,"chaparral","barren",76,20
"592",591,"chaparral","grass",96,4,"chaparral","grass",98,2
"593",592,"tree","grass",86,14,"tree","grass",94,6
"594",593,"chaparral","grass",98,2,"chaparral","grass",94,6
"595",594,"chaparral","grass",88,12,"chaparral","grass",88,12
"596",595,"grass","sage",38,32,"grass","sage",68,22
"597",596,"chaparral","grass",50,26,"chaparral","grass",70,30
"598",597,"sage","tree",54,36,"tree","grass",50,32
"599",598,"tree","grass",92,8,"tree","grass",88,12
"600",599,"chaparral","grass",44,30,"grass","sage",86,14
"601",600,"tree","grass",100,0,"tree","grass",96,4
"602",601,"chaparral","grass",88,12,"chaparral","grass",62,38
"603",602,"chaparral","grass",92,8,"chaparral","grass",88,12
"604",603,"tree","chaparral",54,24,"tree","chaparral",66,24
"605",604,"chaparral","grass",84,16,"chaparral","grass",62,38
"606",605,"grass","chaparral",52,48,"grass","chaparral",44,36
"607",606,"chaparral","grass",96,4,"chaparral","grass",76,24
"608",607,"chaparral","grass",98,2,"chaparral","grass",74,26
"609",608,"sage","grass",40,34,"grass","sage",76,20
"610",609,"sage","chaparral",42,32,"grass","tree",100,0
"611",610,"chaparral","grass",92,6,"chaparral","grass",50,42
"612",611,"chaparral","grass",94,6,"chaparral","grass",82,18
"613",612,"chaparral","grass",60,40,"grass","chaparral",66,20
"614",613,"grass","chaparral",50,28,"grass","chaparral",54,34
"615",614,"chaparral","grass",58,42,"chaparral","grass",86,14
"616",615,"chaparral","grass",94,6,"grass","chaparral",52,48
"617",616,"sage","chaparral",86,12,"grass","sage",58,36
"618",617,"grass","tree",46,38,"tree","sage",62,22
"619",618,"chaparral","barren",60,40,"barren","chaparral",54,28
"620",619,"chaparral","grass",100,0,"chaparral","grass",94,6
"621",620,"chaparral","tree",50,30,"grass","chaparral",52,36
"622",621,"chaparral","grass",100,0,"chaparral","grass",94,6
"623",622,"chaparral","grass",86,14,"chaparral","grass",62,38
"624",623,"chaparral","grass",52,26,"grass","sage",88,12
"625",624,"tree","grass",56,44,"tree","grass",86,14
"626",625,"sage","grass",62,38,"grass","sage",72,16
"627",626,"chaparral","grass",66,34,"grass","chaparral",54,44
"628",627,"chaparral","grass",96,4,"grass","sage",70,16
"629",629,"chaparral","grass",92,8,"chaparral","grass",74,26
"630",630,"chaparral","grass",80,20,"chaparral","grass",72,28
"631",631,"mixed","mixed",46,46,"grass","chaparral",80,12
"632",632,"chaparral","grass",90,10,"chaparral","grass",82,10
"633",633,"chaparral","grass",98,2,"chaparral","grass",94,6
"634",634,"chaparral","grass",58,42,"chaparral","grass",82,18
"635",635,"chaparral","grass",90,10,"chaparral","grass",82,18
"636",636,"chaparral","grass",90,10,"chaparral","grass",86,14
"637",637,"tree","grass",74,26,"grass","tree",62,38
"638",638,"tree","chaparral",48,36,"tree","chaparral",44,30
"639",639,"tree","grass",66,34,"grass","sage",86,12
"640",640,"chaparral","grass",56,32,"grass","sage",62,34
"641",641,"chaparral","sage",50,32,"chaparral","grass",96,4
"642",642,"chaparral","grass",84,16,"chaparral","grass",66,30
"643",643,"chaparral","grass",98,2,"chaparral","grass",86,14
"644",644,"chaparral","sage",54,24,"chaparral","sage",68,18
"645",645,"chaparral","grass",84,16,"chaparral","grass",60,38
"646",646,"grass","chaparral",80,20,"grass","chaparral",86,14
"647",647,"sage","chaparral",78,20,"grass","sage",76,24
"648",648,"tree","chaparral",86,8,"tree","grass",46,32
"649",649,"sage","grass",84,10,"sage","grass",50,44
"650",650,"chaparral","grass",98,2,"chaparral","grass",96,4
"651",651,"chaparral","grass",40,38,"chaparral","grass",52,24
"652",654,"chaparral","grass",90,10,"chaparral","grass",64,36
"653",657,"chaparral","grass",100,0,"chaparral","grass",86,14
"654",661,"sage","chaparral",70,20,"grass","chaparral",68,20
"655",662,"tree","grass",70,30,"grass","tree",66,34
"656",663,"sage","chaparral",52,36,"grass","chaparral",50,42
"657",664,"chaparral","grass",56,40,"mixed","mixed",50,50
"658",665,"chaparral","grass",68,32,"chaparral","grass",90,10
"659",666,"sage","tree",56,34,"tree","grass",54,24
"660",667,"chaparral","tree",96,4,"grass","chaparral",56,44
"661",668,"chaparral","grass",96,4,"grass","sage",48,32
"662",669,"chaparral","grass",88,12,"grass","chaparral",70,30
"663",670,"chaparral","grass",80,12,"chaparral","grass",92,8
"664",671,"sage","chaparral",82,16,"chaparral","grass",48,40
"665",672,"chaparral","grass",70,30,"mixed","mixed",50,50
"666",673,"chaparral","grass",98,2,"grass","chaparral",64,36
"667",674,"sage","grass",56,24,"chaparral","grass",78,22
"668",675,"tree","chaparral",54,28,"grass","chaparral",82,12
"669",676,"chaparral","grass",90,10,"chaparral","grass",52,36
"670",677,"chaparral","grass",100,0,"chaparral","grass",100,0
"671",678,"chaparral","grass",88,12,"grass","sage",70,18
"672",679,"tree","grass",52,48,"tree","grass",74,22
"673",680,"chaparral","grass",72,28,"grass","chaparral",44,42
"674",681,"tree","sage",56,38,"grass","tree",46,32
"675",682,"tree","chaparral",68,18,"tree","grass",64,36
"676",683,"chaparral","grass",88,12,"chaparral","grass",86,14
"677",684,"chaparral","grass",88,12,"chaparral","grass",52,38
"678",685,"tree","grass",52,48,"tree","grass",88,6
"679",686,"chaparral","grass",76,24,"grass","chaparral",60,28
"680",687,"chaparral","grass",80,20,"chaparral","grass",82,18
"681",688,"tree","grass",62,38,"grass","tree",84,16
"682",689,"chaparral","grass",100,0,"chaparral","grass",68,32
"683",690,"chaparral","grass",92,8,"chaparral","grass",88,12
"684",691,"chaparral","barren",84,16,"grass","chaparral",60,20
"685",692,"chaparral","grass",100,0,"chaparral","grass",66,34
"686",693,"chaparral","tree",84,14,"chaparral","grass",86,14
"687",694,"chaparral","grass",96,4,"chaparral","grass",76,24
"688",695,"chaparral","grass",90,10,"chaparral","grass",50,40
"689",696,"chaparral","grass",92,8,"chaparral","grass",74,26
"690",697,"sage","chaparral",66,26,"sage","grass",48,36
"691",698,"sage","grass",70,14,"sage","grass",54,24
"692",699,"chaparral","tree",80,18,"sage","grass",50,40
"693",700,"grass","chaparral",56,40,"grass","chaparral",72,22
"694",701,"sage","grass",70,20,"sage","grass",56,22
"695",702,"chaparral","tree",70,24,"chaparral","tree",62,28
"696",703,"chaparral","grass",94,6,"chaparral","grass",70,28
"697",704,"chaparral","grass",98,2,"grass","chaparral",50,48
"698",705,"chaparral","grass",82,18,"grass","chaparral",54,46
"699",706,"chaparral","grass",98,2,"chaparral","grass",96,4
"700",707,"sage","grass",90,10,"grass","sage",78,22
"701",708,"chaparral","grass",92,8,"grass","chaparral",78,22
"702",709,"chaparral","grass",80,20,"chaparral","grass",44,36
"703",710,"tree","sage",54,46,"tree","sage",44,32
"704",711,"chaparral","grass",92,8,"chaparral","grass",64,36
"705",712,"chaparral","grass",100,0,"chaparral","grass",90,10
"706",713,"chaparral","grass",72,28,"sage","chaparral",40,32
"707",714,"chaparral","grass",96,4,"chaparral","grass",58,28
"708",715,"chaparral","grass",76,24,"chaparral","grass",82,16
"709",716,"chaparral","grass",98,2,"chaparral","grass",56,44
"710",717,"chaparral","grass",64,36,"chaparral","grass",74,26
"711",718,"grass","sage",72,28,"grass","sage",86,14
"712",719,"chaparral","grass",100,0,"chaparral","grass",94,6
"713",720,"grass","chaparral",64,36,"grass","chaparral",62,38
"714",721,"chaparral","grass",82,10,"chaparral","grass",54,46
"715",722,"chaparral","grass",82,18,"chaparral","grass",62,38
"716",723,"chaparral","grass",84,16,"chaparral","grass",62,38
"717",724,"chaparral","grass",82,18,"chaparral","grass",54,38
"718",725,"sage","grass",64,26,"grass","sage",48,32
"719",726,"chaparral","grass",88,12,"chaparral","grass",92,8
"720",727,"chaparral","grass",76,24,"grass","sage",98,2
"721",728,"chaparral","barren",44,40,"chaparral","barren",48,38
"722",729,"tree","sage",42,38,"tree","grass",86,14
"723",730,"chaparral","grass",74,26,"chaparral","grass",72,28
"724",731,"chaparral","grass",88,12,"grass","chaparral",84,8
"725",732,"sage","grass",82,18,"sage","grass",50,44
"726",733,"chaparral","grass",92,8,"chaparral","grass",48,46
"727",734,"chaparral","grass",100,0,"chaparral","grass",90,10
"728",735,"chaparral","grass",96,4,"chaparral","grass",94,6
