"","plot_number","dominant_veg_1930","secondary_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_2009","secondary_veg_2009","dominant_cover_2009","secondary_cover_2009"
"729",736,"sage","grass",66,34,"grass","sage",72,28
"730",737,"chaparral","grass",94,6,"chaparral","grass",86,14
"731",738,"chaparral","grass",44,32,"grass","chaparral",68,32
"732",739,"chaparral","grass",70,30,"chaparral","grass",68,32
"733",740,"tree","grass",84,16,"tree","grass",90,10
"734",741,"grass","sage",88,12,"grass","sage",90,10
"735",742,"chaparral","grass",90,10,"chaparral","grass",62,38
"736",743,"grass","chaparral",58,42,"grass","chaparral",58,42
"737",744,"chaparral","grass",94,6,"grass","chaparral",54,46
"738",745,"chaparral","grass",60,40,"grass","chaparral",70,28
"739",746,"chaparral","grass",94,6,"chaparral","grass",90,10
"740",747,"sage","tree",42,34,"grass","tree",62,30
"741",748,"chaparral","grass",96,4,"chaparral","grass",96,4
"742",749,"tree","grass",62,38,"tree","grass",96,4
"743",750,"chaparral","sage",40,38,"grass","chaparral",78,18
"744",751,"barren","chaparral",50,36,"barren","chaparral",68,22
"745",752,"chaparral","grass",48,38,"chaparral","grass",54,40
"746",753,"chaparral","grass",60,22,"chaparral","grass",64,24
"747",754,"chaparral","grass",60,40,"grass","chaparral",94,6
"748",755,"grass","tree",84,8,"grass","sage",70,16
"749",756,"grass","chaparral",72,16,"grass","chaparral",78,16
"750",757,"chaparral","grass",86,14,"chaparral","grass",60,40
"751",758,"grass","tree",68,32,"grass","chaparral",76,14
"752",759,"chaparral","grass",56,44,"grass","chaparral",46,32
"753",760,"chaparral","grass",100,0,"chaparral","grass",94,4
"754",761,"chaparral","grass",72,28,"chaparral","grass",84,16
"755",762,"grass","sage",42,40,"grass","sage",54,30
"756",763,"chaparral","sage",72,24,"grass","chaparral",54,34
"757",764,"mixed","mixed",36,36,"chaparral","grass",54,38
"758",765,"chaparral","grass",42,32,"grass","chaparral",50,48
"759",766,"chaparral","grass",100,0,"chaparral","grass",82,18
"760",767,"chaparral","barren",92,8,"chaparral","grass",50,44
"761",768,"chaparral","grass",82,18,"chaparral","grass",96,4
"762",769,"grass","chaparral",50,28,"grass","chaparral",52,26
"763",770,"grass","sage",66,34,"grass","sage",68,32
"764",771,"grass","sage",58,42,"grass","sage",94,6
"765",772,"chaparral","grass",66,34,"mixed","mixed",50,50
"766",773,"tree","grass",54,38,"chaparral","grass",88,12
"767",774,"tree","grass",54,46,"grass","tree",52,48
"768",775,"sage","grass",92,8,"grass","sage",52,36
"769",776,"chaparral","grass",92,8,"grass","chaparral",84,16
"770",777,"sage","tree",42,32,"grass","tree",52,48
"771",778,"chaparral","grass",74,26,"grass","chaparral",74,22
"772",779,"chaparral","grass",96,4,"chaparral","grass",90,10
"773",780,"chaparral","sage",62,20,"grass","chaparral",72,20
"774",781,"chaparral","grass",78,22,"chaparral","grass",76,24
"775",782,"chaparral","grass",84,16,"chaparral","grass",86,14
"776",783,"grass","tree",52,48,"tree","grass",76,24
"777",784,"chaparral","grass",62,28,"chaparral","grass",76,16
"778",785,"chaparral","grass",100,0,"chaparral","grass",100,0
"779",786,"sage","tree",54,26,"grass","tree",96,2
"780",787,"chaparral","grass",74,18,"grass","chaparral",70,20
"781",788,"chaparral","grass",62,38,"chaparral","grass",96,4
"782",789,"chaparral","grass",80,20,"grass","chaparral",62,38
"783",790,"chaparral","barren",46,38,"chaparral","grass",52,48
"784",791,"chaparral","grass",64,24,"grass","chaparral",52,34
"785",792,"chaparral","grass",96,4,"chaparral","grass",100,0
"786",793,"chaparral","grass",94,6,"grass","chaparral",68,32
"787",794,"chaparral","grass",94,6,"chaparral","grass",88,12
"788",795,"sage","grass",70,30,"grass","sage",94,6
"789",796,"chaparral","grass",94,6,"chaparral","grass",84,16
"790",797,"chaparral","grass",60,40,"grass","chaparral",74,26
"791",798,"chaparral","grass",86,14,"chaparral","grass",92,8
"792",799,"chaparral","grass",82,18,"chaparral","grass",80,18
"793",800,"grass","chaparral",62,22,"chaparral","grass",54,46
"794",801,"chaparral","grass",94,6,"chaparral","grass",94,6
"795",802,"chaparral","grass",100,0,"chaparral","grass",82,18
"796",803,"chaparral","grass",68,22,"chaparral","grass",70,30
"797",804,"chaparral","grass",90,10,"chaparral","grass",96,4
"798",805,"grass","sage",74,26,"grass","chaparral",96,2
"799",806,"chaparral","grass",100,0,"grass","chaparral",90,8
"800",807,"chaparral","grass",80,10,"chaparral","grass",74,26
"801",808,"chaparral","barren",86,8,"chaparral","barren",84,16
"802",809,"chaparral","grass",86,14,"chaparral","grass",76,24
"803",810,"chaparral","grass",86,14,"chaparral","grass",78,22
"804",811,"chaparral","grass",76,24,"chaparral","grass",84,16
"805",812,"chaparral","grass",84,16,"chaparral","grass",100,0
"806",813,"chaparral","grass",82,18,"grass","chaparral",62,38
"807",814,"chaparral","grass",90,10,"chaparral","grass",98,2
"808",815,"chaparral","grass",100,0,"chaparral","grass",92,8
"809",816,"chaparral","grass",54,46,"grass","chaparral",78,22
"810",817,"chaparral","grass",94,6,"chaparral","grass",94,6
"811",818,"chaparral","grass",52,48,"chaparral","grass",60,40
"812",819,"chaparral","grass",68,32,"chaparral","grass",74,26
"813",820,"grass","sage",64,30,"grass","sage",70,24
"814",821,"chaparral","grass",86,14,"chaparral","grass",62,38
"815",822,"grass","sage",64,36,"grass","sage",88,8
"816",823,"chaparral","grass",66,34,"chaparral","grass",56,44
"817",824,"chaparral","grass",70,30,"grass","chaparral",60,40
"818",825,"grass","sage",62,36,"grass","chaparral",64,22
"819",826,"chaparral","grass",70,30,"grass","chaparral",80,12
"820",827,"chaparral","grass",88,12,"chaparral","grass",72,28
"821",828,"chaparral","grass",100,0,"grass","chaparral",58,42
"822",829,"chaparral","grass",64,36,"chaparral","grass",64,30
"823",830,"grass","chaparral",58,42,"grass","chaparral",58,42
"824",831,"grass","sage",60,32,"grass","chaparral",84,16
"825",832,"chaparral","grass",62,38,"grass","chaparral",72,28
"826",833,"chaparral","grass",82,18,"chaparral","grass",72,28
"827",834,"chaparral","grass",88,12,"chaparral","grass",54,46
"828",835,"chaparral","grass",48,44,"grass","chaparral",72,28
"829",836,"chaparral","grass",90,10,"chaparral","grass",98,2
"830",837,"chaparral","grass",92,8,"chaparral","grass",80,20
"831",838,"sage","chaparral",38,32,"chaparral","grass",54,46
"832",839,"chaparral","grass",62,22,"chaparral","grass",70,20
"833",840,"chaparral","grass",84,8,"chaparral","grass",84,16
"834",841,"chaparral","grass",96,4,"chaparral","grass",94,6
"835",842,"chaparral","grass",94,6,"chaparral","grass",94,6
"836",843,"tree","grass",52,24,"grass","chaparral",86,10
"837",844,"chaparral","grass",96,4,"chaparral","grass",100,0
"838",845,"chaparral","grass",86,14,"chaparral","grass",72,28
"839",846,"grass","tree",46,34,"tree","grass",56,44
"840",847,"chaparral","grass",92,8,"chaparral","grass",62,38
"841",848,"chaparral","grass",96,4,"chaparral","grass",78,22
"842",849,"chaparral","grass",84,16,"chaparral","grass",74,26
"843",850,"chaparral","grass",58,28,"grass","chaparral",74,24
"844",851,"grass","chaparral",70,30,"grass","chaparral",82,18
"845",852,"chaparral","grass",98,2,"chaparral","grass",84,16
"846",853,"chaparral","barren",66,24,"barren","grass",38,32
"847",854,"chaparral","grass",84,16,"grass","chaparral",52,48
"848",855,"chaparral","grass",82,18,"grass","sage",86,12
"849",856,"chaparral","grass",86,14,"grass","chaparral",68,32
"850",857,"chaparral","grass",96,4,"chaparral","grass",66,34
"851",858,"tree","grass",68,32,"grass","chaparral",56,44
"852",859,"chaparral","grass",94,6,"chaparral","grass",74,26
"853",860,"sage","grass",36,32,"grass","sage",50,30
"854",861,"chaparral","grass",86,14,"grass","chaparral",66,34
"855",862,"chaparral","grass",80,20,"grass","chaparral",56,44
"856",863,"chaparral","grass",50,44,"mixed","mixed",50,50
"857",864,"chaparral","grass",68,32,"chaparral","grass",72,28
"858",865,"chaparral","grass",68,28,"mixed","mixed",50,50
"859",866,"grass","chaparral",70,30,"chaparral","grass",54,46
"860",867,"mixed","mixed",36,36,"grass","tree",74,26
"861",868,"sage","grass",74,22,"grass","chaparral",62,20
"862",869,"chaparral","grass",100,0,"chaparral","grass",96,4
"863",870,"chaparral","grass",84,16,"chaparral","grass",50,48
"864",871,"chaparral","grass",64,36,"grass","chaparral",64,36
"865",872,"grass","sage",68,32,"grass","sage",84,16
"866",873,"grass","chaparral",68,32,"grass","chaparral",52,48
"867",874,"chaparral","grass",56,44,"grass","chaparral",76,12
"868",875,"chaparral","grass",52,48,"grass","chaparral",82,18
"869",876,"chaparral","grass",64,36,"grass","chaparral",72,28
"870",877,"chaparral","grass",88,12,"chaparral","grass",52,48
"871",878,"chaparral","grass",88,12,"chaparral","grass",88,12
"872",879,"grass","chaparral",62,38,"grass","chaparral",84,16
"873",880,"grass","tree",76,24,"grass","tree",92,8
"874",881,"chaparral","grass",84,16,"grass","chaparral",58,42
"875",882,"chaparral","grass",100,0,"chaparral","grass",92,8
"876",883,"chaparral","grass",90,8,"chaparral","barren",78,12
"877",884,"chaparral","grass",96,4,"chaparral","grass",94,6
"878",885,"sage","grass",76,24,"sage","grass",74,26
"879",886,"sage","grass",86,14,"grass","sage",86,14
"880",887,"grass","sage",50,30,"grass","chaparral",82,18
"881",888,"chaparral","grass",66,34,"chaparral","grass",56,44
"882",889,"chaparral","grass",92,8,"chaparral","grass",96,4
"883",890,"chaparral","grass",52,48,"grass","chaparral",72,28
"884",891,"sage","grass",80,12,"grass","sage",78,14
"885",892,"grass","chaparral",52,48,"grass","sage",82,12
"886",893,"chaparral","grass",80,20,"grass","chaparral",58,42
"887",894,"grass","sage",62,30,"grass","chaparral",96,2
"888",895,"chaparral","grass",72,28,"grass","chaparral",80,18
"889",896,"chaparral","grass",94,6,"grass","chaparral",64,36
"890",897,"chaparral","grass",90,10,"mixed","mixed",50,50
"891",898,"chaparral","grass",96,4,"grass","chaparral",88,12
"892",899,"tree","grass",68,32,"tree","grass",82,18
"893",900,"grass","sage",60,22,"grass","chaparral",70,26
"894",901,"chaparral","grass",98,2,"grass","chaparral",92,8
"895",902,"grass","sage",66,24,"grass","chaparral",84,10
"896",903,"grass","sage",74,26,"grass","sage",92,6
"897",904,"chaparral","grass",94,6,"chaparral","grass",94,6
"898",905,"chaparral","grass",72,28,"grass","chaparral",80,20
"899",906,"chaparral","grass",94,6,"chaparral","grass",98,2
"900",907,"chaparral","grass",72,28,"chaparral","grass",96,4
"901",908,"chaparral","grass",78,22,"grass","chaparral",66,34
"902",909,"sage","tree",44,30,"grass","tree",92,6
"903",910,"chaparral","grass",60,40,"chaparral","grass",74,26
"904",911,"grass","tree",58,42,"tree","grass",60,40
"905",912,"sage","grass",62,26,"grass","chaparral",90,6
"906",913,"chaparral","grass",86,14,"chaparral","grass",94,6
"907",914,"sage","grass",74,26,"grass","sage",82,18
"908",915,"chaparral","grass",94,6,"chaparral","grass",52,48
"909",916,"chaparral","grass",50,48,"chaparral","grass",52,48
"910",917,"chaparral","grass",100,0,"chaparral","grass",94,6
"911",918,"tree","sage",46,32,"grass","tree",72,16
"912",919,"sage","grass",84,16,"grass","sage",68,32
"913",920,"grass","chaparral",68,18,"grass","chaparral",88,10
"914",921,"grass","chaparral",60,28,"grass","chaparral",82,16
"915",922,"chaparral","grass",76,24,"grass","chaparral",64,36
"916",923,"grass","sage",76,24,"grass","sage",86,14
"917",924,"sage","grass",64,36,"grass","sage",94,6
"918",925,"chaparral","grass",68,32,"grass","chaparral",96,4
"919",926,"chaparral","grass",82,18,"chaparral","grass",90,10
"920",927,"chaparral","grass",98,2,"chaparral","grass",98,2
"921",928,"sage","chaparral",58,28,"grass","sage",90,6
"922",929,"chaparral","grass",88,12,"chaparral","grass",78,22
"923",930,"chaparral","grass",100,0,"chaparral","grass",98,2
"924",931,"chaparral","grass",80,12,"chaparral","grass",78,22
"925",932,"sage","grass",70,30,"grass","sage",84,16
"926",933,"tree","grass",56,44,"tree","grass",70,30
"927",934,"chaparral","grass",84,16,"chaparral","grass",92,8
"928",935,"grass","sage",50,46,"grass","sage",72,28
"929",936,"chaparral","grass",92,8,"chaparral","grass",88,12
"930",937,"tree","grass",56,44,"tree","grass",68,32
"931",938,"tree","grass",64,36,"grass","tree",68,32
"932",939,"sage","grass",60,40,"grass","sage",70,28
"933",940,"chaparral","grass",70,30,"grass","chaparral",58,42
"934",941,"chaparral","grass",82,18,"chaparral","grass",66,34
"935",942,"chaparral","grass",90,10,"chaparral","grass",92,8
"936",943,"chaparral","grass",88,12,"chaparral","grass",70,30
"937",944,"sage","grass",58,42,"grass","sage",88,12
"938",945,"chaparral","grass",74,26,"chaparral","grass",84,16
"939",946,"tree","grass",64,36,"tree","grass",82,18
"940",947,"sage","chaparral",88,10,"sage","grass",58,42
"941",948,"tree","grass",56,44,"grass","tree",72,28
"942",949,"grass","chaparral",42,34,"grass","sage",84,16
"943",950,"chaparral","grass",84,16,"chaparral","grass",78,22
"944",951,"sage","grass",94,6,"grass","sage",82,18
"945",952,"chaparral","grass",66,34,"grass","sage",78,14
"946",953,"chaparral","grass",64,36,"chaparral","grass",70,30
"947",954,"grass","sage",98,2,"grass","sage",86,14
"948",955,"sage","grass",70,30,"grass","sage",90,8
"949",956,"chaparral","grass",86,14,"chaparral","grass",80,20
"950",957,"chaparral","grass",92,8,"sage","chaparral",42,30
"951",958,"grass","sage",56,28,"grass","sage",90,8
"952",959,"chaparral","grass",82,18,"chaparral","grass",56,42
"953",960,"chaparral","sage",60,26,"grass","chaparral",72,20
"954",961,"chaparral","grass",84,16,"chaparral","grass",88,12
"955",962,"sage","grass",54,46,"grass","sage",92,8
"956",963,"chaparral","grass",80,20,"chaparral","grass",92,8
"957",964,"tree","chaparral",70,30,"chaparral","tree",76,22
"958",965,"tree","grass",52,48,"grass","chaparral",68,26
"959",966,"sage","grass",56,44,"grass","chaparral",74,14
"960",967,"grass","chaparral",76,14,"grass","chaparral",58,40
"961",968,"grass","chaparral",62,38,"grass","chaparral",90,10
"962",969,"chaparral","grass",100,0,"grass","chaparral",74,26
"963",970,"chaparral","grass",92,8,"chaparral","grass",100,0
"964",971,"tree","grass",74,26,"tree","grass",54,46
"965",972,"chaparral","grass",84,16,"grass","chaparral",98,2
"966",973,"mixed","mixed",46,46,"tree","chaparral",58,42
"967",974,"chaparral","grass",84,16,"chaparral","grass",64,36
"968",975,"sage","chaparral",38,36,"grass","chaparral",72,14
"969",976,"grass","tree",68,32,"grass","tree",94,6
"970",977,"grass","chaparral",72,16,"grass","sage",86,14
"971",978,"chaparral","grass",60,40,"grass","sage",68,22
"972",979,"chaparral","grass",82,18,"chaparral","grass",58,40
"973",980,"grass","chaparral",50,40,"grass","chaparral",70,30
"974",981,"chaparral","grass",56,44,"grass","chaparral",52,48
"975",982,"sage","grass",48,44,"grass","sage",84,16
"976",983,"chaparral","barren",92,8,"chaparral","barren",98,2
"977",984,"chaparral","grass",68,30,"chaparral","grass",70,30
"978",985,"chaparral","grass",98,2,"chaparral","grass",98,2
"979",986,"grass","chaparral",64,32,"chaparral","grass",66,34
"980",987,"tree","chaparral",56,28,"tree","grass",72,28
"981",988,"chaparral","grass",92,8,"chaparral","grass",94,6
"982",989,"chaparral","grass",90,10,"chaparral","grass",98,2
"983",990,"tree","grass",44,30,"tree","grass",80,20
"984",991,"chaparral","grass",66,34,"chaparral","grass",58,42
"985",992,"tree","grass",48,30,"grass","chaparral",52,26
"986",993,"chaparral","grass",96,4,"chaparral","grass",80,20
"987",994,"chaparral","grass",96,4,"chaparral","grass",94,6
"988",995,"grass","sage",60,40,"grass","chaparral",70,16
"989",996,"sage","grass",66,34,"grass","sage",76,24
"990",997,"grass","chaparral",80,20,"grass","chaparral",74,26
"991",998,"chaparral","grass",96,4,"chaparral","grass",76,24
"992",999,"chaparral","grass",84,16,"chaparral","grass",62,38
"993",1000,"grass","sage",88,12,"grass","chaparral",80,20
"994",1001,"grass","sage",56,44,"grass","chaparral",54,42
"995",1002,"grass","sage",82,18,"grass","sage",80,12
"996",1003,"chaparral","grass",60,40,"grass","chaparral",60,38
"997",1004,"chaparral","grass",60,40,"mixed","mixed",50,50
"998",1005,"chaparral","grass",68,22,"grass","tree",82,18
"999",1006,"grass","tree",46,28,"grass","tree",66,20
"1000",1007,"chaparral","grass",78,22,"chaparral","grass",52,48
"1001",1008,"chaparral","grass",96,4,"chaparral","grass",100,0
"1002",1009,"chaparral","grass",90,10,"chaparral","grass",70,30
"1003",1010,"chaparral","grass",90,10,"grass","chaparral",76,24
"1004",1011,"chaparral","grass",94,6,"chaparral","grass",100,0
"1005",1012,"chaparral","grass",98,2,"chaparral","grass",82,18
"1006",1013,"chaparral","grass",72,26,"chaparral","grass",64,36
"1007",1014,"sage","grass",76,20,"grass","chaparral",46,22
"1008",1015,"chaparral","tree",78,20,"grass","chaparral",66,32
"1009",1016,"chaparral","grass",78,18,"grass","chaparral",76,20
"1010",1017,"chaparral","grass",94,6,"chaparral","grass",100,0
"1011",1018,"chaparral","grass",92,8,"chaparral","grass",54,46
"1012",1019,"chaparral","grass",100,0,"chaparral","grass",94,6
"1013",1020,"chaparral","grass",54,38,"chaparral","grass",78,22
"1014",1021,"sage","grass",80,20,"grass","sage",66,34
"1015",1022,"grass","sage",44,34,"grass","chaparral",88,6
"1016",1023,"grass","chaparral",60,38,"grass","chaparral",50,38
"1017",1024,"sage","grass",76,14,"chaparral","grass",38,36
"1018",1025,"chaparral","grass",92,8,"chaparral","grass",76,24
"1019",1026,"chaparral","grass",90,10,"chaparral","grass",74,26
"1020",1027,"chaparral","grass",88,12,"chaparral","grass",94,6
"1021",1028,"sage","grass",46,34,"grass","tree",60,24
"1022",1029,"grass","sage",72,22,"grass","sage",86,12
"1023",1030,"chaparral","grass",88,12,"chaparral","grass",86,14
"1024",1031,"grass","tree",54,46,"grass","tree",80,20
"1025",1032,"sage","grass",62,38,"grass","sage",82,16
"1026",1033,"chaparral","grass",66,34,"chaparral","grass",80,20
"1027",1034,"tree","grass",84,16,"tree","grass",98,2
"1028",1035,"grass","chaparral",54,28,"grass","chaparral",68,32
"1029",1036,"grass","chaparral",74,16,"grass","chaparral",52,46
"1030",1037,"chaparral","grass",78,22,"grass","chaparral",52,48
"1031",1038,"chaparral","grass",82,14,"grass","sage",66,28
"1032",1039,"grass","sage",66,34,"grass","sage",96,4
"1033",1040,"chaparral","grass",92,8,"chaparral","grass",76,24
"1034",1041,"chaparral","grass",94,6,"sage","chaparral",46,36
"1035",1042,"chaparral","grass",90,10,"chaparral","grass",100,0
"1036",1043,"chaparral","grass",92,8,"chaparral","grass",84,16
"1037",1044,"grass","tree",52,48,"grass","tree",70,30
"1038",1045,"grass","sage",38,36,"grass","chaparral",58,32
"1039",1046,"chaparral","grass",70,30,"chaparral","grass",96,4
"1040",1047,"sage","chaparral",74,24,"grass","sage",48,34
"1041",1048,"sage","grass",52,26,"grass","chaparral",58,42
"1042",1049,"chaparral","grass",88,12,"chaparral","grass",100,0
"1043",1050,"chaparral","grass",82,10,"chaparral","barren",66,20
"1044",1051,"chaparral","grass",54,46,"grass","chaparral",58,36
"1045",1052,"chaparral","grass",76,24,"chaparral","grass",54,46
"1046",1053,"tree","grass",56,44,"tree","grass",70,30
"1047",1054,"chaparral","grass",84,16,"chaparral","grass",74,26
"1048",1055,"chaparral","grass",64,36,"chaparral","grass",60,40
"1049",1056,"grass","chaparral",50,38,"barren","chaparral",50,38
"1050",1057,"chaparral","grass",80,20,"grass","chaparral",74,26
"1051",1058,"grass","tree",84,16,"tree","grass",52,48
"1052",1059,"chaparral","barren",76,20,"chaparral","grass",72,14
"1053",1060,"grass","chaparral",78,22,"grass","chaparral",74,26
"1054",1061,"chaparral","grass",92,8,"chaparral","grass",48,44
"1055",1062,"chaparral","grass",82,10,"chaparral","barren",96,4
"1056",1063,"chaparral","grass",100,0,"chaparral","grass",94,6
"1057",1064,"chaparral","grass",56,44,"grass","chaparral",66,28
"1058",1065,"chaparral","grass",74,24,"grass","chaparral",52,28
"1059",1066,"chaparral","grass",64,28,"grass","chaparral",82,18
"1060",1067,"chaparral","grass",92,8,"chaparral","grass",68,32
"1061",1068,"chaparral","grass",98,2,"chaparral","grass",92,8
"1062",1069,"chaparral","grass",74,26,"grass","chaparral",80,12
"1063",1070,"sage","grass",64,34,"grass","sage",78,18
"1064",1071,"grass","chaparral",60,36,"grass","sage",82,10
"1065",1072,"tree","sage",40,38,"grass","tree",70,22
"1066",1073,"chaparral","grass",80,20,"grass","sage",66,34
"1067",1074,"sage","grass",100,0,"grass","sage",78,20
"1068",1075,"chaparral","grass",86,14,"chaparral","grass",52,48
"1069",1076,"grass","chaparral",58,42,"grass","chaparral",56,44
"1070",1077,"chaparral","grass",86,14,"chaparral","grass",72,28
"1071",1078,"chaparral","grass",100,0,"chaparral","grass",98,2
"1072",1079,"grass","chaparral",58,32,"chaparral","grass",54,42
"1073",1080,"chaparral","grass",50,48,"grass","chaparral",62,38
"1074",1081,"grass","sage",58,28,"grass","sage",88,8
"1075",1082,"grass","barren",44,34,"grass","sage",80,12
"1076",1083,"chaparral","grass",82,18,"chaparral","grass",54,46
"1077",1084,"chaparral","barren",52,40,"chaparral","grass",42,32
"1078",1085,"chaparral","grass",90,10,"chaparral","grass",84,16
"1079",1086,"chaparral","grass",78,22,"grass","chaparral",56,42
"1080",1087,"chaparral","grass",88,10,"sage","grass",68,30
"1081",1088,"mixed","mixed",44,44,"chaparral","grass",50,44
"1082",1089,"chaparral","grass",90,10,"chaparral","grass",84,16
"1083",1090,"chaparral","grass",78,22,"chaparral","grass",76,24
"1084",1091,"grass","sage",42,38,"grass","sage",68,22
"1085",1092,"tree","grass",70,30,"grass","tree",64,36
"1086",1093,"chaparral","grass",82,18,"chaparral","grass",86,14
